ID,Precision,Category,Latency_s,Net_Energy_J,Power_W,T1_CA,T1_CC,T1_SQ,T1_LA,T2_CA,T2_CC,T2_SQ,T2_LA,T3_CA,T3_CC,T3_SQ,T3_LA,T4_CA,T4_CC,T4_SQ,T4_LA,T5_CA,T5_CC,T5_SQ,T5_LA,T6_CA,T6_CC,T6_SQ,T6_LA,T7_CA,T7_CC,T7_SQ,T7_LA,T8_CA,T8_CC,T8_SQ,T8_LA,T9_CA,T9_CC,T9_SQ,T9_LA,T10_CA,T10_CC,T10_SQ,T10_LA,GPT4_CA,GPT4_CC,GPT4_SQ,GPT4_LA,Claude_CA,Claude_CC,Claude_SQ,Claude_LA,Gemini_CA,Gemini_CC,Gemini_SQ,Gemini_LA,Human_mean_CA,AI_mean_CA,Weighted_CA,Human_mean_CC,AI_mean_CC,Weighted_CC,Human_mean_SQ,AI_mean_SQ,Weighted_SQ,Human_mean_LA,AI_mean_LA,Weighted_LA,Qped,LpW
16,FP16,Mathematics,16.4678,643.528,39.08,8,7,8,9,8,8,7,9,10,8,10,9,8,10,9,8,10,10,8,10,8,8,6,8,8,8,9,7,6,7,6,7,9,9,9,9,9,9,8,9,9,8,8,9,9,8,8,8,9,8,8,9,8.4,9.0,8.64,8.4,8.0,8.24,8.0,8.0,8.0,8.5,8.6667,8.5667,8.3617,0.0008
17,FP16,Mathematics,16.3673,693.2992,42.36,7,4,6,8,4,5,6,7,9,6,6,8,6,7,6,8,7,7,5,10,6,5,3,6,6,5,6,7,5,5,3,6,7,7,6,9,7,6,5,7,9,8,6,8,8,7,7,7,7,5,4,8,6.4,8.0,7.04,5.7,6.6667,6.0867,5.2,5.6667,5.3867,7.6,7.6667,7.6267,6.535,0.0006
18,FP16,Mathematics,16.9261,666.3177,39.37,9,8,7,8,6,9,8,9,10,7,8,8,9,9,8,9,10,10,9,10,9,7,6,7,8,8,9,7,6,6,7,7,9,9,10,8,9,9,8,9,9,8,6,8,9,8,8,8,9,9,7,9,8.5,9.0,8.7,8.2,8.3333,8.2533,8.0,7.0,7.6,8.2,8.3333,8.2533,8.2017,0.0007
19,FP16,Mathematics,16.9353,666.6222,39.36,8,7,8,8,6,9,9,7,10,8,9,9,8,10,8,10,10,10,8,10,7,8,6,7,7,8,7,7,7,6,4,7,10,9,10,8,9,9,8,9,9,8,6,9,8,8,7,8,9,9,8,9,8.2,8.6667,8.3867,8.4,8.3333,8.3733,7.7,7.0,7.42,8.2,8.6667,8.3867,8.1417,0.0007
20,FP16,Mathematics,16.5459,693.6259,41.92,9,8,8,9,6,7,8,10,9,8,9,9,8,10,8,9,10,9,8,10,8,7,6,8,8,7,9,8,6,6,6,7,10,9,10,10,9,9,8,9,9,8,8,9,8,8,8,8,9,9,9,9,8.3,8.6667,8.4467,8.0,8.3333,8.1333,8.0,8.3333,8.1333,8.9,8.6667,8.8067,8.38,0.0007
21,FP16,Mathematics,17.2463,728.0973,42.22,9,9,8,8,8,8,8,8,10,5,8,10,8,10,9,8,10,9,8,9,9,8,7,7,7,8,9,7,5,6,6,7,8,10,9,9,9,9,7,9,9,8,8,8,9,9,9,9,9,9,8,9,8.3,9.0,8.58,8.2,8.6667,8.3867,7.9,8.3333,8.0733,8.2,8.6667,8.3867,8.3567,0.0007
22,FP16,Mathematics,16.4841,650.1689,39.44,9,7,8,8,8,8,10,9,10,8,8,9,8,10,7,9,9,9,8,10,8,8,6,6,8,9,8,8,6,6,6,8,9,9,10,8,9,8,8,9,9,8,8,9,9,8,8,8,9,9,8,9,8.4,9.0,8.64,8.2,8.3333,8.2533,7.9,8.0,7.94,8.4,8.6667,8.5067,8.335,0.0008
23,FP16,Mathematics,17.0256,663.5633,38.97,8,7,7,9,7,9,8,8,10,7,8,9,8,10,7,9,8,10,8,10,8,8,6,7,7,7,8,7,7,5,6,8,9,8,9,10,9,9,8,9,9,8,6,9,9,9,8,9,9,9,8,9,8.1,9.0,8.46,8.0,8.6667,8.2667,7.5,7.3333,7.4333,8.6,9.0,8.76,8.23,0.0007
24,FP16,Mathematics,16.912,665.1458,39.33,7,4,6,7,7,7,7,6,9,7,8,8,6,8,6,9,9,8,7,10,7,6,5,6,5,6,6,7,6,6,4,8,7,7,6,7,8,7,5,8,9,8,6,8,7,7,6,7,8,8,7,9,7.1,8.0,7.46,6.6,7.6667,7.0267,6.0,6.3333,6.1333,7.6,8.0,7.76,7.095,0.0006
25,FP16,Mathematics,17.2038,671.4113,39.03,7,4,8,7,5,6,6,8,8,4,6,8,5,7,5,7,7,6,6,10,6,5,4,6,5,6,6,8,4,4,3,7,6,6,6,9,7,5,5,8,9,8,6,9,9,8,8,8,7,6,4,8,6.0,8.3333,6.9333,5.3,7.3333,6.1133,5.5,6.0,5.7,7.8,8.3333,8.0133,6.69,0.0006
26,FP16,Mathematics,16.644,654.0285,39.3,8,7,7,9,8,8,9,10,10,8,9,8,9,10,8,9,10,10,8,10,8,8,6,7,7,8,9,7,7,6,6,8,10,9,9,9,9,9,7,9,9,8,8,9,9,8,7,8,9,9,8,9,8.6,9.0,8.76,8.3,8.3333,8.3133,7.8,7.6667,7.7467,8.6,8.6667,8.6267,8.3617,0.0008
27,FP16,Mathematics,14.923,586.6158,39.31,8,6,6,7,6,7,6,7,9,6,6,9,7,7,7,8,10,7,6,10,8,7,5,7,6,6,7,5,6,5,3,6,9,8,8,8,8,7,6,8,9,8,6,9,9,9,8,9,9,8,7,9,7.7,9.0,8.22,6.6,8.3333,7.2933,6.0,7.0,6.4,7.5,9.0,8.1,7.5033,0.0009
28,FP16,Mathematics,16.5485,643.0243,38.86,7,5,5,8,6,5,5,9,8,7,5,9,5,7,5,9,7,6,5,9,6,5,4,6,5,6,6,6,4,5,2,7,7,7,7,7,7,5,5,8,9,8,8,8,8,7,7,7,7,5,4,8,6.2,8.0,6.92,5.8,6.6667,6.1467,4.9,6.3333,5.4733,7.8,7.6667,7.7467,6.5717,0.0006
29,FP16,Mathematics,16.9463,666.5163,39.33,8,7,6,8,7,8,8,8,10,8,7,8,8,10,7,9,10,10,8,10,8,8,6,7,8,8,8,8,5,7,6,6,9,9,10,10,10,9,8,9,9,8,8,9,9,8,8,8,9,9,8,9,8.3,9.0,8.58,8.4,8.3333,8.3733,7.4,8.0,7.64,8.3,8.6667,8.4467,8.26,0.0007
30,FP16,Mathematics,17.6741,691.4434,39.12,8,7,8,9,7,10,9,8,10,8,8,9,8,10,9,9,10,9,9,10,9,8,6,7,8,7,8,8,7,6,5,7,10,10,9,10,9,9,8,9,9,8,6,9,9,8,8,8,9,9,8,9,8.6,9.0,8.76,8.4,8.3333,8.3733,7.9,7.3333,7.6733,8.6,8.6667,8.6267,8.3583,0.0007
31,FP16,Mathematics,16.868,657.4166,38.97,9,8,7,9,7,9,9,9,10,10,8,9,8,10,7,9,9,9,9,10,8,9,6,7,7,8,8,9,7,6,6,8,10,10,9,10,9,9,8,8,9,8,8,9,9,8,8,8,9,9,8,9,8.4,9.0,8.64,8.8,8.3333,8.6133,7.7,8.0,7.82,8.8,8.6667,8.7467,8.455,0.0008
32,FP16,Mathematics,16.7366,647.4722,38.69,7,5,5,7,5,6,7,7,8,5,5,7,5,8,5,8,9,6,5,9,6,6,3,6,6,7,5,6,4,4,3,7,6,6,6,9,6,6,5,8,9,8,8,9,8,8,8,8,7,6,5,8,6.2,8.0,6.92,5.9,7.3333,6.4733,4.9,7.0,5.74,7.4,8.3333,7.7733,6.7267,0.0006
33,FP16,Mathematics,16.592,646.1193,38.94,9,8,7,9,7,9,7,9,10,8,8,8,8,9,8,9,10,9,9,10,8,8,7,7,8,9,9,7,6,7,6,7,8,9,10,9,9,8,8,8,9,8,8,8,9,9,9,9,9,9,8,9,8.3,9.0,8.58,8.4,8.6667,8.5067,7.9,8.3333,8.0733,8.3,8.6667,8.4467,8.4017,0.0008
34,FP16,Mathematics,16.5519,649.0744,39.21,8,8,7,8,7,8,9,9,10,8,7,10,8,10,8,8,8,10,9,10,9,9,6,6,7,9,8,7,7,7,6,9,9,10,9,9,9,9,8,9,9,8,8,9,9,9,9,9,9,9,8,9,8.2,9.0,8.52,8.8,8.6667,8.7467,7.7,8.3333,7.9533,8.5,9.0,8.7,8.48,0.0008
35,FP16,Mathematics,17.2766,671.2882,38.86,8,8,8,8,7,8,9,8,10,8,9,9,9,10,8,9,8,9,9,10,7,7,7,7,6,8,9,6,6,7,5,8,9,9,10,9,8,9,8,9,9,8,6,9,9,8,8,8,9,9,8,9,7.8,9.0,8.28,8.3,8.3333,8.3133,8.2,7.3333,7.8533,8.3,8.6667,8.4467,8.2233,0.0007
36,FP16,Mathematics,16.4794,699.4412,42.44,8,6,5,7,7,8,7,7,10,5,7,9,7,8,6,9,9,7,7,10,7,6,5,6,6,7,6,6,6,5,3,6,7,8,8,8,8,7,6,8,9,8,6,9,9,9,9,9,9,8,7,9,7.5,9.0,8.1,6.7,8.3333,7.3533,6.0,7.3333,6.5333,7.6,9.0,8.16,7.5367,0.0007
37,FP16,Mathematics,16.3908,638.8048,38.97,8,9,9,9,7,9,7,7,10,8,8,9,8,9,7,9,9,10,8,10,8,9,7,6,7,9,8,7,7,7,5,8,10,8,9,10,9,8,8,9,9,8,8,9,9,9,9,9,9,9,8,9,8.3,9.0,8.58,8.6,8.6667,8.6267,7.6,8.3333,7.8933,8.4,9.0,8.64,8.435,0.0008
38,FP16,Mathematics,16.7895,665.3684,39.63,8,8,7,8,7,9,9,8,10,9,8,8,8,10,8,8,10,10,9,10,8,8,6,7,7,8,8,8,7,6,6,8,9,9,9,10,9,9,7,9,9,8,6,9,9,8,8,8,9,9,8,9,8.3,9.0,8.58,8.6,8.3333,8.4933,7.7,7.3333,7.5533,8.4,8.6667,8.5067,8.2833,0.0007
39,FP16,Mathematics,16.7932,657.0646,39.13,9,7,9,9,8,9,9,9,10,7,8,9,8,10,8,9,10,9,8,10,8,8,6,7,8,9,7,7,7,7,6,7,9,9,10,9,9,8,7,8,9,8,8,9,9,8,8,8,9,9,8,9,8.6,9.0,8.76,8.3,8.3333,8.3133,7.8,8.0,7.88,8.4,8.6667,8.5067,8.365,0.0008
40,FP16,Mathematics,16.7365,659.5725,39.41,6,5,5,7,5,5,6,8,8,5,5,8,7,8,5,7,8,7,6,10,6,5,4,6,7,5,5,6,5,5,4,7,7,4,6,8,7,6,4,8,9,8,8,8,8,8,7,8,7,5,4,8,6.6,8.0,7.16,5.5,7.0,6.1,5.0,6.3333,5.5333,7.5,8.0,7.7,6.6233,0.0006
41,FP16,Mathematics,17.6248,686.267,38.94,8,7,8,9,7,9,9,8,10,7,8,9,9,9,8,8,9,9,10,10,8,10,6,6,7,9,9,8,6,7,5,6,10,9,8,10,9,9,8,9,9,8,6,9,9,9,9,9,9,9,8,9,8.3,9.0,8.58,8.5,8.6667,8.5667,7.9,7.6667,7.8067,8.3,9.0,8.58,8.3833,0.0007
42,FP16,Mathematics,16.5546,645.8185,39.01,9,8,6,9,9,8,8,8,10,10,8,9,8,10,9,8,10,10,9,10,8,8,6,7,6,8,8,7,6,6,5,8,9,9,9,10,9,8,8,9,9,8,8,9,9,8,8,8,9,9,8,9,8.4,9.0,8.64,8.5,8.3333,8.4333,7.6,8.0,7.76,8.5,8.6667,8.5667,8.35,0.0008
43,FP16,Mathematics,16.7846,659.2847,39.28,9,8,7,9,7,8,8,9,10,7,7,8,9,10,8,10,10,9,7,10,8,9,7,8,8,7,8,7,7,7,6,7,10,9,9,9,9,9,8,9,9,8,8,9,7,6,6,7,9,9,7,9,8.7,8.3333,8.5533,8.3,7.6667,8.0467,7.5,7.0,7.3,8.6,8.3333,8.4933,8.0983,0.0007
44,FP16,Mathematics,16.8675,662.742,39.29,8,7,7,8,7,7,9,9,9,7,8,10,9,10,8,9,10,9,10,10,9,7,7,7,7,8,9,7,7,6,6,7,9,8,9,9,9,10,8,9,9,8,8,9,9,8,8,8,9,9,8,9,8.4,9.0,8.64,7.9,8.3333,8.0733,8.1,8.0,8.06,8.5,8.6667,8.5667,8.335,0.0007
45,FP16,Mathematics,17.1567,666.4683,38.85,9,8,8,8,9,7,8,9,10,8,7,9,7,10,8,10,10,10,10,10,8,8,7,7,7,10,9,8,5,7,5,7,8,9,9,9,9,9,8,9,9,8,6,9,9,8,8,8,9,9,8,9,8.2,9.0,8.52,8.6,8.3333,8.4933,7.9,7.3333,7.6733,8.6,8.6667,8.6267,8.3283,0.0007
46,FP16,Mathematics,16.4681,641.0095,38.92,9,6,8,8,6,9,8,8,10,8,9,9,8,9,8,9,9,10,9,10,8,8,6,7,8,7,9,7,6,6,6,7,10,8,9,10,8,9,8,9,9,8,8,9,9,9,9,9,9,9,8,9,8.2,9.0,8.52,8.0,8.6667,8.2667,8.0,8.3333,8.1333,8.4,9.0,8.64,8.39,0.0008
47,FP16,Mathematics,16.9819,664.4747,39.13,8,8,7,9,6,8,9,8,10,10,8,10,8,10,9,9,10,10,8,10,8,8,5,7,8,8,9,7,6,6,6,7,9,8,10,9,9,8,9,8,9,8,6,9,9,9,8,9,9,9,8,9,8.2,9.0,8.52,8.4,8.6667,8.5067,8.0,7.3333,7.7333,8.4,9.0,8.64,8.35,0.0007
48,FP16,Mathematics,17.353,684.0542,39.42,7,9,8,9,9,8,8,8,10,7,9,8,8,10,8,9,9,10,9,10,8,7,6,8,7,8,8,7,7,7,5,9,9,9,9,9,8,9,8,9,9,8,6,8,9,9,9,8,9,9,8,9,8.2,9.0,8.52,8.4,8.6667,8.5067,7.8,7.6667,7.7467,8.6,8.3333,8.4933,8.3167,0.0007
49,FP16,Mathematics,16.9237,654.254,38.66,9,8,7,8,7,8,9,9,9,8,7,8,8,9,8,9,10,10,9,10,8,7,7,7,8,9,8,7,6,7,6,7,9,9,9,9,8,9,8,9,9,8,8,9,9,8,8,8,9,9,8,9,8.2,9.0,8.52,8.4,8.3333,8.3733,7.8,8.0,7.88,8.3,8.6667,8.4467,8.305,0.0008
50,FP16,Mathematics,17.1344,671.649,39.2,8,7,9,9,7,8,10,8,10,7,9,9,8,10,8,8,10,10,7,10,7,8,7,7,7,9,9,8,6,7,5,7,10,8,9,9,8,8,8,9,9,8,8,9,9,8,8,8,9,9,8,9,8.1,9.0,8.46,8.2,8.3333,8.2533,8.1,8.0,8.06,8.4,8.6667,8.5067,8.32,0.0007
51,FP16,Mathematics,16.7713,653.2378,38.95,8,9,8,9,6,9,8,9,10,7,7,9,9,10,8,10,9,10,8,10,8,9,6,8,8,7,8,7,6,7,5,8,9,10,9,9,9,9,7,9,9,8,6,9,9,9,8,9,9,9,8,9,8.2,9.0,8.52,8.7,8.6667,8.6867,7.4,7.3333,7.3733,8.8,9.0,8.88,8.365,0.0008
52,FP16,Mathematics,17.1452,727.9488,42.46,7,7,8,8,7,7,7,9,10,6,8,8,8,9,8,10,9,9,8,10,9,7,6,7,8,8,8,7,6,7,5,7,10,9,9,9,9,8,8,8,9,8,8,9,9,9,8,9,9,9,8,9,8.3,9.0,8.58,7.7,8.6667,8.0867,7.5,8.0,7.7,8.3,9.0,8.58,8.2367,0.0007
53,FP16,Mathematics,16.3647,640.5953,39.14,9,8,7,9,7,8,8,8,10,9,8,9,8,10,7,9,9,9,7,10,8,7,6,7,7,9,8,7,7,7,6,8,9,10,9,10,9,9,8,9,9,8,8,9,9,8,8,8,9,9,8,9,8.3,9.0,8.58,8.6,8.3333,8.4933,7.4,8.0,7.64,8.6,8.6667,8.6267,8.335,0.0008
54,FP16,Mathematics,17.4688,682.9428,39.1,9,8,7,8,6,8,8,9,10,9,6,9,8,10,8,9,10,9,9,10,8,7,7,7,7,9,8,7,7,6,6,8,8,10,9,8,9,9,8,9,9,8,6,9,9,9,9,9,9,9,8,9,8.2,9.0,8.52,8.5,8.6667,8.5667,7.6,7.6667,7.6267,8.4,9.0,8.64,8.3383,0.0007
55,FP16,Mathematics,17.1412,668.7509,39.01,9,7,7,8,8,9,8,9,10,7,8,10,9,10,8,9,10,9,9,10,8,9,6,7,8,7,9,8,7,6,5,8,9,9,8,10,8,9,7,9,9,8,6,9,9,9,8,9,9,9,8,9,8.6,9.0,8.76,8.2,8.6667,8.3867,7.5,7.3333,7.4333,8.8,9.0,8.88,8.365,0.0007
56,FP16,Mathematics,16.2363,631.101,38.87,9,6,7,8,6,8,7,8,10,9,8,9,7,10,7,7,9,10,8,10,7,9,6,7,7,8,9,8,6,7,6,8,9,10,9,8,9,9,8,9,9,8,6,9,9,9,9,9,9,9,8,9,7.9,9.0,8.34,8.6,8.6667,8.6267,7.5,7.6667,7.5667,8.2,9.0,8.52,8.2633,0.0008
57,FP16,Mathematics,16.525,641.7721,38.84,9,7,8,8,7,8,8,8,10,7,8,9,8,10,7,9,10,10,8,10,8,7,6,8,8,9,8,8,7,7,5,7,9,9,10,9,8,9,7,9,9,8,6,9,9,8,8,8,9,9,8,9,8.4,9.0,8.64,8.3,8.3333,8.3133,7.5,7.3333,7.4333,8.5,8.6667,8.5667,8.2383,0.0008
58,FP16,Mathematics,16.5985,645.6832,38.9,10,7,9,9,7,8,7,9,10,8,9,9,7,10,8,10,9,9,10,10,7,8,7,8,7,9,8,8,5,6,6,8,10,10,10,9,8,8,8,9,9,8,8,9,9,9,8,9,9,9,8,9,8.0,9.0,8.4,8.3,8.6667,8.4467,8.2,8.0,8.12,8.9,9.0,8.94,8.4767,0.0008
59,FP16,Mathematics,16.7088,651.3994,38.99,8,6,7,8,7,8,9,9,10,6,8,9,8,10,8,8,10,10,10,10,9,7,6,8,8,9,9,8,6,7,6,8,8,10,8,9,9,8,8,9,9,8,8,9,8,8,7,8,9,9,8,9,8.3,8.6667,8.4467,8.1,8.3333,8.1933,7.9,7.6667,7.8067,8.6,8.6667,8.6267,8.2683,0.0008
60,FP16,Mathematics,16.3772,643.6421,39.3,9,8,8,9,8,8,8,8,10,9,9,9,8,10,7,8,8,10,9,10,8,8,7,6,6,8,10,7,7,7,6,8,10,9,9,10,9,9,8,9,9,8,6,8,9,8,8,8,9,9,7,9,8.3,9.0,8.58,8.6,8.3333,8.4933,8.1,7.0,7.66,8.4,8.3333,8.3733,8.2767,0.0008
61,FP16,Mathematics,17.9611,699.2557,38.93,9,7,8,8,8,9,9,8,10,9,8,9,9,10,7,9,8,10,10,10,8,9,6,7,6,9,8,8,6,6,6,8,10,10,10,9,8,9,8,9,9,8,8,8,9,9,9,9,9,9,8,9,8.2,9.0,8.52,8.8,8.6667,8.7467,8.0,8.3333,8.1333,8.5,8.6667,8.5667,8.4917,0.0007
62,FP16,Mathematics,16.4739,637.7432,38.71,7,5,4,7,5,5,5,7,8,5,4,8,6,7,5,7,9,7,6,10,7,6,4,6,7,6,5,6,5,4,3,6,7,7,7,9,7,6,5,8,9,8,8,8,9,7,6,7,7,5,4,8,6.8,8.3333,7.4133,5.8,6.6667,6.1467,4.8,6.0,5.28,7.4,7.6667,7.5067,6.5867,0.0006
63,FP16,Mathematics,16.518,649.6456,39.33,8,7,8,9,7,8,8,8,10,7,8,9,8,10,9,8,8,9,7,10,9,8,6,7,8,7,9,8,7,7,5,7,9,9,9,9,9,9,7,9,9,8,8,8,9,9,9,9,9,9,8,9,8.3,9.0,8.58,8.1,8.6667,8.3267,7.6,8.3333,7.8933,8.4,8.6667,8.5067,8.3267,0.0008
64,FP16,Mathematics,16.6231,646.2801,38.88,8,8,8,9,7,9,8,8,10,8,7,10,7,10,8,8,10,10,8,10,8,9,7,7,6,8,9,7,6,7,6,7,9,10,8,9,9,9,7,8,9,8,6,9,9,9,8,9,9,9,8,9,8.0,9.0,8.4,8.8,8.6667,8.7467,7.6,7.3333,7.4933,8.3,9.0,8.58,8.305,0.0008
65,FP16,Mathematics,16.1938,634.549,39.18,9,7,7,9,8,8,9,9,10,8,8,8,8,9,8,8,9,9,9,10,9,7,6,7,8,9,8,7,6,6,5,7,10,9,9,9,9,9,7,8,9,7,6,8,8,8,7,8,9,9,7,9,8.6,8.6667,8.6267,8.1,8.0,8.06,7.6,6.6667,7.2267,8.2,8.3333,8.2533,8.0417,0.0008
66,FP16,Mathematics,16.5094,652.1996,39.5,9,7,7,8,7,9,9,9,10,9,8,9,7,10,8,8,9,10,8,10,8,9,7,6,7,9,9,8,6,6,5,7,9,9,9,10,9,9,9,9,9,8,8,8,9,9,9,9,9,9,8,9,8.1,9.0,8.46,8.7,8.6667,8.6867,7.9,8.3333,8.0733,8.4,8.6667,8.5067,8.4317,0.0008
67,FP16,Mathematics,16.8371,660.2047,39.21,8,9,7,8,7,8,8,7,10,8,9,9,8,10,8,9,10,9,9,10,8,9,6,7,8,8,9,8,6,6,5,7,10,10,8,9,9,9,8,9,9,8,8,8,9,8,8,8,9,9,8,9,8.4,9.0,8.64,8.6,8.3333,8.4933,7.7,8.0,7.82,8.3,8.3333,8.3133,8.3167,0.0007
