ID,Precision,Category,Latency_s,Net_Energy_J,Power_W,T1_CA,T1_CC,T1_SQ,T1_LA,T2_CA,T2_CC,T2_SQ,T2_LA,T3_CA,T3_CC,T3_SQ,T3_LA,T4_CA,T4_CC,T4_SQ,T4_LA,T5_CA,T5_CC,T5_SQ,T5_LA,T6_CA,T6_CC,T6_SQ,T6_LA,T7_CA,T7_CC,T7_SQ,T7_LA,T8_CA,T8_CC,T8_SQ,T8_LA,T9_CA,T9_CC,T9_SQ,T9_LA,T10_CA,T10_CC,T10_SQ,T10_LA,GPT4_CA,GPT4_CC,GPT4_SQ,GPT4_LA,Claude_CA,Claude_CC,Claude_SQ,Claude_LA,Gemini_CA,Gemini_CC,Gemini_SQ,Gemini_LA,Human_mean_CA,AI_mean_CA,Weighted_CA,Human_mean_CC,AI_mean_CC,Weighted_CC,Human_mean_SQ,AI_mean_SQ,Weighted_SQ,Human_mean_LA,AI_mean_LA,Weighted_LA,Qped,LpW
12,NF4,Mathematics,52.8648,2032.6502,38.45,9,8,7,9,8,7,8,7,9,9,8,9,8,10,7,9,9,9,9,10,9,9,7,7,8,9,9,8,6,6,7,7,9,9,9,9,9,9,8,9,9,8,8,9,8,8,7,9,9,9,8,9,8.4,8.6667,8.5067,8.5,8.3333,8.4333,7.9,7.6667,7.8067,8.4,9.0,8.64,8.3467,0.0001
13,NF4,Mathematics,53.258,2032.7992,38.17,8,6,6,8,5,7,8,7,10,6,7,8,8,8,7,8,9,8,7,10,7,6,5,6,6,7,8,7,5,4,5,7,7,6,8,9,8,7,7,8,9,8,8,9,8,8,7,9,9,9,8,9,7.3,8.6667,7.8467,6.5,8.3333,7.2333,6.8,7.6667,7.1467,7.8,9.0,8.28,7.6267,0.0001
14,NF4,Mathematics,52.7814,2021.4467,38.3,8,7,8,8,7,9,9,9,10,8,8,9,9,10,8,9,10,9,10,10,8,8,6,8,8,8,9,6,7,7,5,7,9,9,9,10,9,9,8,9,9,8,8,9,7,6,5,8,7,6,5,8,8.5,7.6667,8.1667,8.4,6.6667,7.7067,8.0,6.0,7.2,8.5,8.3333,8.4333,7.8767,0.0001
15,NF4,Mathematics,52.3068,2011.3178,38.45,10,7,7,8,7,8,8,8,10,9,9,8,8,9,8,9,9,9,9,10,8,9,7,7,7,9,8,7,6,7,5,6,10,9,8,10,9,9,8,8,9,8,8,9,8,8,7,9,9,9,8,9,8.4,8.6667,8.5067,8.5,8.3333,8.4333,7.7,7.6667,7.6867,8.1,9.0,8.46,8.2717,0.0001
16,NF4,Mathematics,52.2081,1982.4684,37.97,8,5,6,7,8,7,8,7,10,4,6,8,6,8,7,9,8,9,8,10,7,5,5,7,7,7,7,7,6,5,4,7,8,7,9,8,8,6,7,7,9,8,6,9,8,8,7,9,9,9,8,9,7.6,8.6667,8.0267,6.3,8.3333,7.1133,6.7,7.0,6.82,7.7,9.0,8.22,7.545,0.0001
17,NF4,Mathematics,52.3152,2001.5284,38.26,7,4,8,8,7,7,7,8,9,6,7,6,8,9,7,7,9,7,6,10,7,6,5,6,7,7,8,7,6,5,5,7,9,8,9,8,8,7,7,8,9,8,6,8,7,6,5,8,7,6,5,8,7.7,7.6667,7.6867,6.6,6.6667,6.6267,6.9,5.3333,6.2733,7.5,8.0,7.7,7.0717,0.0001
18,NF4,Mathematics,52.8987,2038.3667,38.53,9,8,9,9,8,8,9,9,10,9,8,9,8,9,8,9,9,9,8,10,8,8,6,7,7,7,9,8,7,6,6,7,8,10,8,9,9,8,8,9,9,8,8,9,8,8,7,9,9,9,8,9,8.3,8.6667,8.4467,8.2,8.3333,8.2533,7.9,7.6667,7.8067,8.6,9.0,8.76,8.3167,0.0001
19,NF4,Mathematics,53.0324,2038.9911,38.45,8,9,6,9,7,9,8,9,10,7,7,9,6,9,8,10,9,10,8,10,8,8,7,7,9,9,9,8,6,7,6,8,9,10,10,7,9,8,7,9,9,8,8,9,8,8,7,9,9,9,8,9,8.1,8.6667,8.3267,8.6,8.3333,8.4933,7.6,7.6667,7.6267,8.6,9.0,8.76,8.3017,0.0001
20,NF4,Mathematics,52.5308,2023.9676,38.53,9,7,6,9,7,8,8,9,10,8,9,9,7,10,8,9,10,10,7,10,9,8,7,7,7,7,9,8,7,7,6,8,9,9,8,10,8,8,8,9,9,8,8,9,6,6,6,9,7,6,5,8,8.3,7.3333,7.9133,8.2,6.6667,7.5867,7.6,6.3333,7.0933,8.8,8.6667,8.7467,7.835,0.0001
21,NF4,Mathematics,54.0068,2069.1748,38.31,7,6,7,8,7,8,6,7,9,6,7,10,7,8,8,8,9,7,8,10,7,6,5,6,6,6,8,6,5,5,4,7,9,7,9,8,8,7,7,8,9,8,8,8,8,8,7,9,9,9,8,9,7.4,8.6667,7.9067,6.6,8.3333,7.2933,6.9,7.6667,7.2067,7.8,8.6667,8.1467,7.6383,0.0001
22,NF4,Mathematics,52.5405,2016.6981,38.38,8,8,8,8,7,8,8,8,10,7,9,9,7,9,7,10,9,9,9,10,8,9,6,7,7,9,8,9,6,7,5,7,8,7,10,10,9,9,8,9,9,8,8,9,8,8,7,9,9,9,8,9,7.9,8.6667,8.2067,8.2,8.3333,8.2533,7.8,7.6667,7.7467,8.7,9.0,8.82,8.2567,0.0001
23,NF4,Mathematics,52.9334,2023.9466,38.24,9,6,8,9,7,8,8,8,10,9,8,9,8,10,8,9,9,10,8,10,8,8,5,8,8,9,9,7,8,7,6,8,8,8,9,9,9,9,8,9,9,8,6,9,8,8,7,9,9,9,8,9,8.4,8.6667,8.5067,8.4,8.3333,8.3733,7.7,7.0,7.42,8.6,9.0,8.76,8.265,0.0001
24,NF4,Mathematics,52.9026,2034.4378,38.46,8,4,8,8,7,7,8,7,9,5,6,9,6,8,6,7,9,6,8,9,7,6,6,7,6,6,7,7,5,4,6,7,9,6,8,9,8,6,7,8,9,8,6,9,8,8,7,9,9,9,8,9,7.4,8.6667,7.9067,5.8,8.3333,6.8133,7.0,7.0,7.0,7.8,9.0,8.28,7.5,0.0001
25,NF4,Mathematics,29.3413,1170.3774,39.89,8,7,7,8,7,7,8,9,9,6,7,8,7,8,6,8,8,8,8,9,8,6,5,6,5,7,7,7,5,4,4,7,9,7,8,7,8,7,6,7,9,8,6,9,8,8,7,9,8,7,6,8,7.4,8.3333,7.7733,6.7,7.6667,7.0867,6.6,6.3333,6.4933,7.6,8.6667,8.0267,7.345,0.0002
26,NF4,Mathematics,52.5188,2013.2715,38.33,9,7,7,8,8,8,8,8,10,8,9,10,7,9,8,10,10,10,8,10,8,9,6,7,8,8,9,7,6,8,5,8,10,9,9,10,9,8,7,9,9,8,8,9,8,8,7,9,9,9,8,9,8.5,8.6667,8.5667,8.4,8.3333,8.3733,7.6,7.6667,7.6267,8.7,9.0,8.82,8.3467,0.0001
27,NF4,Mathematics,52.5856,2021.0167,38.43,8,5,7,8,6,7,7,6,9,5,7,8,7,8,7,8,9,7,9,9,8,6,5,6,7,6,7,6,5,4,4,6,8,6,8,9,8,7,7,7,9,8,8,9,8,8,7,9,9,9,8,9,7.5,8.6667,7.9667,6.1,8.3333,6.9933,6.8,7.6667,7.1467,7.3,9.0,7.98,7.5217,0.0001
28,NF4,Mathematics,52.0849,1977.792,37.97,9,8,8,8,7,8,8,8,9,10,9,8,7,10,8,9,10,9,9,10,9,7,6,7,7,9,8,7,6,6,6,7,10,9,10,9,9,8,8,9,9,8,6,8,6,6,6,9,7,6,5,8,8.3,7.3333,7.9133,8.4,6.6667,7.7067,8.0,5.6667,7.0667,8.2,8.3333,8.2533,7.735,0.0001
29,NF4,Mathematics,53.3793,2105.1206,39.44,8,8,7,9,9,9,9,8,10,7,7,9,9,9,7,8,9,10,9,10,9,8,6,7,9,8,8,7,6,5,5,7,10,10,9,10,9,9,8,9,9,8,8,9,8,8,7,9,9,9,8,9,8.8,8.6667,8.7467,8.3,8.3333,8.3133,7.5,7.6667,7.5667,8.4,9.0,8.64,8.3167,0.0001
30,NF4,Mathematics,54.4055,2142.9374,39.39,8,7,9,9,8,8,9,8,10,8,9,10,7,10,7,8,10,9,8,10,9,8,6,7,7,10,9,8,5,7,5,7,8,9,9,9,9,9,8,9,9,8,8,9,5,4,4,8,7,6,5,8,8.1,7.0,7.66,8.5,6.0,7.5,7.9,5.6667,7.0067,8.5,8.3333,8.4333,7.65,0.0001
31,NF4,Mathematics,53.202,2036.4021,38.28,7,5,5,8,7,7,9,8,9,6,7,9,6,8,7,8,8,6,8,10,8,6,5,7,7,7,7,6,7,5,4,8,9,8,8,8,8,7,7,7,9,8,8,9,8,8,7,9,8,7,6,8,7.6,8.3333,7.8933,6.5,7.6667,6.9667,6.7,7.0,6.82,7.9,8.6667,8.2067,7.4717,0.0001
32,NF4,Mathematics,52.5516,2008.4708,38.22,8,4,7,7,6,6,7,7,9,6,6,8,8,8,6,9,9,8,8,10,6,6,5,6,8,7,7,6,6,5,5,6,8,7,8,9,8,7,7,8,9,8,6,9,8,8,7,9,9,9,8,9,7.6,8.6667,8.0267,6.4,8.3333,7.1733,6.6,7.0,6.76,7.6,9.0,8.16,7.53,0.0001
33,NF4,Mathematics,51.8863,1997.4309,38.5,8,6,7,7,7,6,7,8,9,7,7,8,7,8,7,7,8,7,8,10,7,7,6,6,8,7,7,6,5,5,5,6,8,8,7,8,8,7,7,7,9,8,8,8,8,8,7,9,8,7,6,8,7.5,8.3333,7.8333,6.8,7.6667,7.1467,6.8,7.0,6.88,7.3,8.3333,7.7133,7.3933,0.0001
34,NF4,Mathematics,52.163,2008.4305,38.5,9,7,8,8,8,8,8,8,10,9,8,10,8,9,8,9,10,10,9,10,8,8,7,7,7,9,8,8,6,8,5,7,9,9,10,10,9,9,8,9,9,8,8,9,8,8,7,9,9,9,8,9,8.4,8.6667,8.5067,8.6,8.3333,8.4933,7.9,7.6667,7.8067,8.6,9.0,8.76,8.3917,0.0001
35,NF4,Mathematics,52.8804,2039.2467,38.56,8,9,7,9,8,7,9,7,10,8,8,8,8,10,8,9,9,9,7,10,9,8,5,8,6,8,9,7,7,6,5,7,10,8,9,9,9,9,8,9,9,8,8,9,8,8,7,9,9,9,8,9,8.4,8.6667,8.5067,8.2,8.3333,8.2533,7.5,7.6667,7.5667,8.3,9.0,8.58,8.2267,0.0001
36,NF4,Mathematics,52.1556,1982.9202,38.02,7,6,8,8,6,8,7,7,9,6,7,9,5,8,7,8,9,8,8,10,7,7,5,6,8,5,7,7,6,5,5,6,8,7,8,8,8,7,7,8,9,8,8,9,8,8,7,9,8,7,6,8,7.3,8.3333,7.7133,6.7,7.6667,7.0867,6.9,7.0,6.94,7.7,8.6667,8.0867,7.4567,0.0001
37,NF4,Mathematics,51.8517,1981.8241,38.22,7,4,7,7,7,7,8,8,9,5,7,7,5,8,7,8,10,8,6,10,7,7,5,6,6,7,7,7,5,4,6,5,8,7,9,9,8,7,7,8,9,8,8,9,8,8,7,9,9,9,8,9,7.2,8.6667,7.7867,6.4,8.3333,7.1733,6.9,7.6667,7.2067,7.5,9.0,8.1,7.5667,0.0001
38,NF4,Mathematics,53.064,2037.863,38.4,8,5,7,7,7,8,7,7,10,8,6,8,7,9,7,8,8,8,8,10,8,7,5,7,7,7,6,7,6,5,5,6,9,7,8,8,8,7,7,7,9,8,6,9,7,6,5,8,7,6,5,8,7.8,7.6667,7.7467,7.1,6.6667,6.9267,6.6,5.3333,6.0933,7.5,8.3333,7.8333,7.15,0.0001
39,NF4,Mathematics,52.6144,2017.7195,38.35,9,7,7,9,9,8,7,8,10,8,8,10,8,10,8,9,10,10,10,10,8,8,6,7,7,8,9,7,7,7,5,7,9,10,9,9,9,9,8,9,9,8,8,9,8,8,7,9,9,9,8,9,8.6,8.6667,8.6267,8.5,8.3333,8.4333,7.7,7.6667,7.6867,8.5,9.0,8.7,8.3617,0.0001
40,NF4,Mathematics,52.0531,1994.4394,38.32,8,7,8,9,6,9,8,9,10,8,8,9,9,10,7,9,10,10,9,10,9,8,6,8,8,9,8,7,6,6,6,7,8,10,9,9,9,8,8,8,9,8,8,8,7,6,5,8,7,6,5,8,8.3,7.6667,8.0467,8.5,6.6667,7.7667,7.7,6.0,7.02,8.5,8.0,8.3,7.7833,0.0001
41,NF4,Mathematics,54.5802,2093.7807,38.36,8,5,6,7,6,7,7,8,9,5,7,8,7,7,6,8,9,6,8,9,7,6,5,6,8,6,7,6,5,5,4,7,9,8,8,8,8,7,7,8,9,8,6,9,8,8,7,9,9,9,8,9,7.6,8.6667,8.0267,6.2,8.3333,7.0533,6.5,7.0,6.7,7.5,9.0,8.1,7.47,0.0001
42,NF4,Mathematics,52.1105,1998.3953,38.35,9,8,7,8,8,9,9,9,10,9,7,9,8,10,7,10,10,9,10,10,8,8,7,7,8,9,8,7,6,6,5,7,10,9,9,9,8,9,8,9,9,8,8,9,8,8,7,9,9,9,8,9,8.5,8.6667,8.5667,8.6,8.3333,8.4933,7.7,7.6667,7.6867,8.5,9.0,8.7,8.3617,0.0001
43,NF4,Mathematics,51.2891,1963.7105,38.29,9,8,7,8,6,8,7,8,10,7,8,9,9,10,9,10,9,9,8,10,8,9,6,7,8,8,8,6,6,6,6,7,9,9,10,9,9,9,7,9,9,8,6,9,8,8,7,9,9,9,8,9,8.3,8.6667,8.4467,8.3,8.3333,8.3133,7.6,7.0,7.36,8.3,9.0,8.58,8.175,0.0001
44,NF4,Mathematics,53.2441,2041.6651,38.35,7,5,7,8,6,7,8,7,9,6,7,8,7,8,8,8,9,8,8,9,7,7,5,6,8,7,7,6,6,5,5,7,8,8,8,9,7,7,6,8,9,8,8,9,8,8,7,9,9,9,8,9,7.4,8.6667,7.9067,6.8,8.3333,7.4133,6.9,7.6667,7.2067,7.6,9.0,8.16,7.6717,0.0001
45,NF4,Mathematics,53.6353,2050.8981,38.24,8,6,7,8,6,7,8,8,9,8,7,8,7,8,7,8,9,8,6,10,7,6,6,6,8,7,6,6,5,5,4,7,7,7,8,8,8,7,7,8,9,8,6,9,8,8,7,9,9,9,8,9,7.4,8.6667,7.9067,6.9,8.3333,7.4733,6.6,7.0,6.76,7.7,9.0,8.22,7.59,0.0001
46,NF4,Mathematics,52.5947,2015.9922,38.33,9,7,7,9,7,9,9,8,10,7,8,8,8,10,9,9,10,10,7,10,8,8,6,7,9,9,9,8,5,7,5,7,9,9,9,9,9,9,8,8,9,8,8,9,8,8,7,9,9,9,8,9,8.4,8.6667,8.5067,8.5,8.3333,8.4333,7.7,7.6667,7.6867,8.3,9.0,8.58,8.3017,0.0001
47,NF4,Mathematics,53.0587,2049.2514,38.62,9,8,7,8,8,9,7,8,10,8,7,9,7,10,8,9,9,10,8,10,9,8,6,7,6,7,8,7,7,6,5,7,9,9,9,10,9,8,7,9,9,8,6,9,8,8,7,9,9,9,8,9,8.3,8.6667,8.4467,8.3,8.3333,8.3133,7.2,7.0,7.12,8.4,9.0,8.64,8.13,0.0001
48,NF4,Mathematics,53.5445,2048.0697,38.25,8,8,8,8,7,7,9,8,10,9,9,10,7,9,8,10,8,10,8,10,9,7,6,7,6,8,7,7,6,6,5,8,9,10,9,9,9,9,8,9,9,8,6,8,8,8,7,9,9,9,8,9,7.9,8.6667,8.2067,8.3,8.3333,8.3133,7.7,7.0,7.42,8.6,8.6667,8.6267,8.1417,0.0001
49,NF4,Mathematics,52.6448,2019.6236,38.36,7,5,7,8,7,7,8,7,9,7,7,8,7,8,6,7,8,8,8,10,8,7,5,7,6,6,8,6,6,5,5,6,8,7,8,9,7,7,7,8,9,8,6,9,8,8,7,9,9,9,8,9,7.3,8.6667,7.8467,6.7,8.3333,7.3533,6.9,7.0,6.94,7.6,9.0,8.16,7.575,0.0001
50,NF4,Mathematics,53.0276,2025.2445,38.19,7,5,7,9,6,8,7,7,9,7,7,9,6,8,8,7,9,7,6,9,7,6,6,6,6,5,8,6,5,5,4,6,9,7,8,9,8,7,7,7,9,8,8,9,6,6,6,9,7,6,5,8,7.2,7.3333,7.2533,6.5,6.6667,6.5667,6.8,6.3333,6.6133,7.5,8.6667,7.9667,7.1,0.0001
51,NF4,Mathematics,52.644,2007.0701,38.13,8,5,7,9,6,6,9,7,9,7,6,7,7,8,8,8,8,8,9,10,7,6,5,6,5,7,8,6,6,5,5,7,8,6,8,9,7,7,7,8,9,8,6,9,8,8,7,9,9,9,8,9,7.1,8.6667,7.7267,6.5,8.3333,7.2333,7.2,7.0,7.12,7.7,9.0,8.22,7.575,0.0001
52,NF4,Mathematics,52.8376,2031.341,38.45,8,8,7,9,7,9,9,9,10,8,7,9,7,10,8,9,10,10,9,10,8,9,6,8,7,8,10,8,7,6,5,8,8,9,10,10,9,9,8,9,9,8,8,9,8,8,7,9,9,9,8,9,8.1,8.6667,8.3267,8.6,8.3333,8.4933,7.9,7.6667,7.8067,8.9,9.0,8.94,8.3917,0.0001
53,NF4,Mathematics,52.1871,1996.4508,38.26,9,9,9,9,7,7,7,8,10,9,8,9,8,10,8,9,10,9,9,10,9,8,5,7,9,9,8,6,6,5,6,8,9,9,9,9,9,9,8,9,9,8,8,9,8,8,7,9,9,9,8,9,8.6,8.6667,8.6267,8.4,8.3333,8.3733,7.7,7.6667,7.6867,8.4,9.0,8.64,8.3317,0.0001
54,NF4,Mathematics,53.785,2046.6258,38.05,7,5,7,8,6,6,8,8,9,6,7,9,8,9,7,8,8,5,6,10,6,5,5,5,7,6,7,6,5,6,4,7,8,6,8,8,8,7,7,8,9,8,6,9,8,8,7,9,9,9,8,9,7.2,8.6667,7.7867,6.1,8.3333,6.9933,6.6,7.0,6.76,7.7,9.0,8.22,7.44,0.0001
55,NF4,Mathematics,53.4741,2052.5212,38.38,7,6,6,7,7,7,9,8,9,5,6,8,8,9,6,8,8,9,7,10,6,6,5,6,7,7,8,6,5,5,5,7,7,7,8,6,9,7,7,8,9,8,6,9,8,8,7,9,9,9,8,9,7.3,8.6667,7.8467,6.8,8.3333,7.4133,6.7,7.0,6.82,7.4,9.0,8.04,7.53,0.0001
56,NF4,Mathematics,52.0754,1996.1577,38.33,9,7,8,9,7,8,8,9,10,8,9,9,9,9,8,9,9,10,9,10,8,8,5,6,8,8,8,7,7,7,5,8,9,10,9,9,9,9,8,9,9,8,8,9,7,6,5,8,7,6,5,8,8.5,7.6667,8.1667,8.4,6.6667,7.7067,7.7,6.0,7.02,8.5,8.3333,8.4333,7.8317,0.0001
57,NF4,Mathematics,52.3241,2052.6332,39.23,9,6,7,8,7,8,9,8,10,7,8,9,8,10,8,9,10,10,9,10,8,8,6,7,7,8,8,7,6,5,5,8,9,10,10,8,9,9,7,8,9,8,8,9,8,8,7,9,9,9,8,9,8.3,8.6667,8.4467,8.1,8.3333,8.1933,7.7,7.6667,7.6867,8.2,9.0,8.52,8.2117,0.0001
58,NF4,Mathematics,52.6293,2068.303,39.3,8,8,8,8,6,8,9,8,10,8,8,9,9,10,9,10,10,10,9,10,8,8,6,7,7,8,9,7,5,6,5,8,9,9,10,9,9,9,7,9,9,8,8,9,8,8,7,9,9,9,8,9,8.1,8.6667,8.3267,8.4,8.3333,8.3733,8.0,7.6667,7.8667,8.5,9.0,8.7,8.3167,0.0001
59,NF4,Mathematics,52.7049,2033.2818,38.58,10,7,9,9,7,9,8,7,10,8,8,8,8,10,8,9,9,10,8,10,8,9,6,7,6,9,8,7,7,7,6,8,8,9,9,9,9,9,7,9,9,8,6,9,8,8,7,9,9,9,8,9,8.2,8.6667,8.3867,8.7,8.3333,8.5533,7.7,7.0,7.42,8.3,9.0,8.58,8.235,0.0001
60,NF4,Mathematics,52.5116,2023.1148,38.53,8,7,7,8,6,7,7,7,9,6,7,8,6,7,7,9,8,8,9,10,8,6,6,7,6,8,7,6,5,4,5,7,7,7,7,7,8,7,7,8,9,8,6,8,8,8,7,9,9,9,8,9,7.1,8.6667,7.7267,6.7,8.3333,7.3533,6.9,7.0,6.94,7.7,8.6667,8.0867,7.5267,0.0001
61,NF4,Mathematics,54.7554,2108.8199,38.51,8,6,8,8,8,7,8,7,9,6,7,9,7,8,7,8,9,7,9,10,7,4,5,6,5,8,9,7,5,4,5,6,9,8,8,10,8,7,7,8,9,8,8,8,8,8,7,9,8,7,6,8,7.5,8.3333,7.8333,6.5,7.6667,6.9667,7.3,7.0,7.18,7.9,8.3333,8.0733,7.5133,0.0001
62,NF4,Mathematics,52.2559,1991.3778,38.11,9,7,8,8,7,9,8,8,10,7,7,9,7,10,7,9,10,10,8,10,9,8,6,7,8,8,9,8,6,6,5,7,10,9,8,10,9,9,8,9,9,8,8,8,7,6,5,8,7,6,5,8,8.5,7.6667,8.1667,8.3,6.6667,7.6467,7.4,6.0,6.84,8.5,8.0,8.3,7.7383,0.0001
63,NF4,Mathematics,52.4656,2007.3444,38.26,9,8,7,9,9,8,8,7,9,7,8,8,7,10,7,8,10,9,9,10,8,8,6,7,8,9,8,7,7,6,6,8,9,9,9,10,8,9,7,9,9,8,8,8,8,8,7,9,9,9,8,9,8.4,8.6667,8.5067,8.3,8.3333,8.3133,7.5,7.6667,7.5667,8.3,8.6667,8.4467,8.2083,0.0001
64,NF4,Mathematics,52.1599,2006.9899,38.48,7,6,7,7,9,7,8,7,9,6,6,7,7,7,8,7,7,8,7,9,8,7,5,6,6,6,7,7,5,6,6,7,8,6,8,9,8,7,7,8,9,8,8,9,7,5,4,8,7,6,5,8,7.4,7.6667,7.5067,6.6,6.3333,6.4933,6.9,5.6667,6.4067,7.4,8.3333,7.7733,7.045,0.0001
65,NF4,Mathematics,39.5489,1524.6534,38.55,7,8,7,8,6,6,7,7,9,6,6,8,6,9,7,8,8,8,7,10,7,6,5,7,7,9,8,7,6,5,4,6,8,7,9,9,8,7,6,7,9,7,8,8,8,8,7,9,9,9,8,9,7.2,8.6667,7.7867,7.1,8.0,7.46,6.6,7.6667,7.0267,7.7,8.6667,8.0867,7.59,0.0001
66,NF4,Mathematics,52.2783,2001.1826,38.28,8,5,7,8,7,5,8,7,9,5,7,8,8,8,7,8,8,8,8,9,7,7,6,6,7,7,9,6,6,5,5,6,9,8,9,9,8,7,6,8,9,8,8,8,8,8,7,9,9,9,8,9,7.7,8.6667,8.0867,6.5,8.3333,7.2333,7.2,7.6667,7.3867,7.5,8.6667,7.9667,7.6683,0.0001
67,NF4,Mathematics,52.4564,2009.7535,38.31,9,7,7,9,6,8,10,8,10,8,9,9,8,9,8,8,10,9,7,10,9,8,7,6,7,9,8,8,7,5,6,8,10,9,8,10,9,9,8,9,9,8,8,9,8,8,7,9,9,9,8,9,8.5,8.6667,8.5667,8.1,8.3333,8.1933,7.8,7.6667,7.7467,8.5,9.0,8.7,8.3017,0.0001
