ID,HW_Platform,Backend,Precision,Category,Output_Tokens,Latency_s,Gross_Energy_J,Net_Energy_J,Power_W,Q_ped,LpW
53,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,166,134.4545,673.0399,390.6855,5.01,8.446,0.00016079
54,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,200,139.2866,799.3484,506.8465,5.74,7.351,0.00010413
55,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,173,126.9177,690.4188,423.8916,5.44,7.616,0.00014156
56,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,181,133.0445,650.9277,371.5341,4.89,6.768,0.00013692
57,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,190,122.4203,639.3433,382.2606,5.22,6.874,0.00014689
58,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,161,149.3415,687.371,373.7539,4.6,8.945,0.00016026
59,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,182,153.0061,813.0973,491.7844,5.31,9.093,0.00012084
60,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,184,150.9948,788.2905,471.2015,5.22,8.058,0.00011326
61,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,143,125.6049,636.8434,373.0732,5.07,7.582,0.0001618
62,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,183,117.8564,699.3411,451.8426,5.93,7.855,0.0001475
63,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,176,149.533,723.3717,409.3524,4.84,8.464,0.00013827
64,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,180,139.1235,776.6648,484.5055,5.58,7.743,0.00011487
65,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,178,136.0659,840.1638,554.4254,6.17,8.134,0.00010782
66,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,183,122.4024,701.4769,444.4318,5.73,8.003,0.00014712
67,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,200,137.4444,726.7215,438.0882,5.29,7.714,0.00012811
68,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,152,115.9891,562.1262,318.5491,4.85,7.736,0.00020937
69,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,170,140.4037,667.6441,372.7964,4.76,8.163,0.00015596
70,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,192,150.9802,775.3406,458.2822,5.14,7.502,0.00010842
71,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,188,154.5608,776.6991,452.1213,5.03,8.245,0.00011799
72,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,188,141.461,709.0284,411.9602,5.01,7.765,0.00013324
73,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,200,111.7753,577.8195,343.0914,5.17,8.076,0.00021059
74,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,191,134.2021,705.7824,423.958,5.26,8.73,0.00015344
75,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,200,161.7835,888.8522,549.1068,5.49,7.923,8.919e-05
76,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,171,119.0657,572.0967,322.0587,4.8,8.488,0.00022135
77,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,156,130.5596,656.3366,382.1614,5.03,7.078,0.00014186
78,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,171,151.472,793.1275,475.0362,5.24,7.765,0.00010792
79,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,193,140.1633,731.9056,437.5626,5.22,8.024,0.00013083
80,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,186,166.6182,1005.4692,655.571,6.03,9.01,8.249e-05
81,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,186,120.9933,652.5044,398.4185,5.39,6.991,0.00014502
82,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,173,117.3455,546.192,299.7665,4.65,7.96,0.00022629
83,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,169,148.7826,813.4349,500.9915,5.47,8.767,0.00011762
84,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,174,114.4185,631.3918,391.1129,5.52,7.602,0.00016987
85,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,193,128.6059,675.1744,405.102,5.25,7.899,0.00015162
86,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,196,130.4678,628.1558,354.1733,4.81,8.183,0.00017709
87,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,155,146.1111,877.1371,570.3038,6.0,8.106,9.728e-05
88,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,194,140.1226,682.6838,388.4264,4.87,8.824,0.00016212
89,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,163,137.8903,767.2643,477.6947,5.56,8.243,0.00012514
90,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,188,125.6855,676.1904,412.2509,5.38,8.7,0.00016791
91,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,173,148.6531,823.5861,511.4147,5.54,7.823,0.0001029
92,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,200,188.5667,1128.1461,732.1561,5.98,7.625,5.523e-05
93,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,168,141.2162,780.1709,483.6169,5.52,7.893,0.00011557
94,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,181,132.8153,674.2417,395.3294,5.08,7.407,0.00014107
95,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,191,112.9703,648.7206,411.4828,5.74,8.261,0.00017771
96,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,158,122.3478,617.5577,360.6274,5.05,7.809,0.00017699
97,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,176,128.3653,688.7342,419.1671,5.37,7.661,0.00014238
98,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,172,123.8087,592.148,332.1498,4.78,8.269,0.00020108
99,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,166,131.1717,640.9951,365.5345,4.89,7.415,0.00015465
100,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,168,156.6478,833.4533,504.4929,5.32,8.411,0.00010643
