ID,HW_Platform,Backend,Precision,Category,Output_Tokens,Latency_s,Gross_Energy_J,Net_Energy_J,Power_W,Q_ped,LpW
68,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,188,15.3291,434.9136,306.1495,28.37,8.094,0.0017247
69,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,200,18.1017,574.4698,422.4151,31.74,8.389,0.00109711
70,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,176,15.8983,488.4951,354.9498,30.73,7.185,0.00127324
71,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,173,13.6211,356.1259,241.709,26.15,8.023,0.00243687
72,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,153,13.9201,417.7373,300.8085,30.01,7.896,0.00188571
73,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,172,14.3692,444.491,323.7901,30.93,8.188,0.00175988
74,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,142,17.344,480.0978,334.4079,27.68,8.003,0.00137983
75,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,157,16.5991,510.1161,370.6837,30.73,7.254,0.00117893
76,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,182,17.75,463.7458,314.6457,26.13,7.354,0.00131675
77,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,200,15.4028,522.7903,393.4071,33.94,8.025,0.00132435
78,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,200,16.6329,560.4344,420.7177,33.69,8.545,0.0012211
79,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,165,17.6137,519.4812,371.5258,29.49,6.859,0.00104814
80,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,200,15.6504,488.5682,357.1051,31.22,8.19,0.00146542
81,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,183,17.2592,404.7672,259.7897,23.45,8.629,0.0019245
82,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,174,14.91,402.0056,276.762,26.96,7.93,0.00192172
83,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,187,15.5376,456.4542,325.9385,29.38,8.296,0.00163813
84,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,179,15.4984,421.5246,291.3384,27.2,7.644,0.00169292
85,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,180,13.7887,444.0016,328.1762,32.2,7.948,0.00175641
86,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,169,17.3226,620.0195,474.5093,35.79,7.167,0.00087192
87,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,147,15.3143,412.0374,283.3976,26.91,6.791,0.00156474
88,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,144,16.3262,454.769,317.6286,27.86,8.5,0.00163913
89,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,192,17.3096,534.1604,388.76,30.86,7.498,0.00111424
90,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,171,17.2377,598.3405,453.5437,34.71,7.773,0.00099424
91,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,164,17.6973,473.8871,325.2297,26.78,7.289,0.0012664
92,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,178,16.0932,497.2358,362.0531,30.9,7.277,0.00124893
93,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,195,15.4111,544.0053,414.5523,35.3,7.92,0.00123969
94,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,181,16.1326,412.5922,277.0785,25.58,7.631,0.00170716
95,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,163,12.7566,339.4914,232.336,26.61,8.207,0.00276906
96,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,200,13.2611,384.7552,273.3623,29.01,8.245,0.00227444
97,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,200,13.5223,388.6636,275.076,28.74,8.177,0.00219831
98,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,188,14.2058,461.3368,342.0082,32.48,8.134,0.00167418
99,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,199,17.1395,529.2111,385.2391,30.88,8.83,0.00133731
100,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Mathematics,200,14.3985,363.2755,242.3282,25.23,7.455,0.00213662
101,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,200,15.5059,490.6542,360.405,31.64,7.981,0.00142814
102,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,191,19.0284,543.8861,384.0477,28.58,8.599,0.00117669
103,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,191,15.5518,525.1618,394.5263,33.77,8.668,0.00141274
104,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,189,17.8488,507.6686,357.7388,28.44,7.271,0.00113873
105,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,153,14.3394,407.4897,287.0387,28.42,7.848,0.00190672
106,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,193,15.8686,503.2747,369.9786,31.72,8.716,0.00148458
107,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,148,14.305,462.5678,342.4061,32.34,8.274,0.00168923
108,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,160,15.588,490.3165,359.377,31.45,8.112,0.00144806
109,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,200,18.0646,460.2931,308.5501,25.48,7.897,0.00141679
110,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,196,12.6726,401.8046,295.3545,31.71,7.81,0.00208661
111,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,200,17.2123,469.9633,325.38,27.3,8.16,0.001457
112,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,172,16.7992,518.4041,377.2904,30.86,7.879,0.0012431
113,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,152,15.0523,394.5737,268.1345,26.21,7.988,0.00197917
114,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,172,13.2633,417.1262,305.7146,31.45,8.051,0.00198556
115,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,180,16.4515,459.6792,321.4868,27.94,7.657,0.00144774
116,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,179,15.1881,404.1335,276.5538,26.61,8.287,0.00197295
117,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,200,16.7886,540.5717,399.5473,32.2,9.525,0.00141998
118,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,170,16.3459,504.7056,367.4001,30.88,7.086,0.00117992
119,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,185,19.6637,560.0402,394.8648,28.48,8.178,0.00105325
120,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,156,15.7974,541.2695,408.5717,34.26,7.615,0.00117982
121,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,187,14.1507,409.8903,291.0248,28.97,8.31,0.00201788
122,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,178,16.6765,505.1289,365.0465,30.29,8.034,0.00131971
123,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,161,16.762,518.8333,378.0325,30.95,8.406,0.00132658
124,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,172,19.1543,545.2257,384.3297,28.46,8.621,0.00117108
125,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,173,18.0537,569.0389,417.3875,31.52,8.11,0.00107625
126,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,172,17.0494,489.4266,346.2114,28.71,8.599,0.00145679
127,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,200,19.3729,562.7337,400.001,29.05,6.791,0.00087635
128,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,175,13.8036,469.5349,353.5847,34.02,8.837,0.00181059
129,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,172,14.9565,408.109,282.4742,27.29,8.205,0.00194209
130,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,131,14.3542,336.5227,215.9475,23.44,8.57,0.00276474
131,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,158,15.4814,537.369,407.3253,34.71,7.376,0.00116969
132,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,172,13.409,500.6653,388.03,37.34,7.578,0.00145645
133,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,162,17.6338,512.5312,364.4072,29.07,8.086,0.00125835
134,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,200,15.8333,392.3002,259.3002,24.78,8.001,0.00194881
135,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,174,13.2113,387.4961,276.5212,29.33,8.157,0.00223283
136,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,200,14.1673,416.498,297.4928,29.4,8.574,0.00203433
137,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,179,16.9584,503.1248,360.6744,29.67,7.092,0.0011595
138,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,178,18.0601,489.112,337.4074,27.08,8.516,0.00139753
139,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,176,20.4931,652.1483,480.006,31.82,8.014,0.00081469
140,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,178,22.4191,709.9823,521.6618,31.67,7.904,0.00067583
141,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,200,17.1703,446.6957,302.4655,26.02,7.245,0.00139504
142,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,126,14.222,457.3466,337.882,32.16,8.272,0.00172142
143,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,133,11.8227,424.9968,325.6861,35.95,6.755,0.00175432
144,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,166,16.8622,517.3572,375.7148,30.68,8.347,0.00131752
145,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,178,14.5928,426.9202,304.3405,29.26,7.234,0.00162884
146,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,193,15.4277,459.7838,330.1907,29.8,8.038,0.0015779
147,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,188,15.0146,479.3068,353.1841,31.92,7.948,0.0014988
148,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,169,16.0043,405.7759,271.3395,25.35,8.618,0.00198452
149,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,200,18.5386,568.3977,412.6738,30.66,7.917,0.00103485
150,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,200,16.6298,484.0387,344.3483,29.11,7.649,0.00133573
151,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,182,15.9669,564.8105,430.6888,35.37,7.747,0.00112655
152,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,199,14.1251,419.6902,301.0392,29.71,8.672,0.00203941
153,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,183,12.7832,445.7501,338.3715,34.87,8.289,0.00191633
154,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,165,15.2788,414.1998,285.8582,27.11,7.809,0.00178796
155,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,193,16.1871,515.4659,379.4946,31.84,7.887,0.00128392
156,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,180,20.0127,622.2798,454.1736,31.09,7.195,0.0007916
157,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,178,16.5736,460.193,320.9749,27.77,8.212,0.0015437
158,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,200,18.3638,563.7068,409.4513,30.7,7.095,0.0009436
159,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,124,15.2515,512.3742,384.2618,33.6,8.401,0.00143348
160,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,146,13.8116,404.589,288.5714,29.29,8.077,0.00202653
161,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,151,14.2733,363.4328,243.5375,25.46,9.251,0.00266134
162,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,170,14.777,445.5395,321.4125,30.15,7.438,0.00156605
163,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,172,20.7698,574.7668,400.3006,27.67,7.957,0.00095704
164,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,144,14.5751,426.1966,303.7659,29.24,8.945,0.00202037
165,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,156,18.0608,541.3111,389.6001,29.97,8.63,0.00122646
166,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,159,14.4039,366.2061,245.2137,25.42,7.648,0.00216533
167,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,200,18.2563,468.7517,315.3988,25.68,8.126,0.00141125
168,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,200,17.1084,539.7663,396.0557,31.55,8.011,0.00118228
169,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,168,15.9711,458.9506,324.7937,28.74,8.157,0.00157249
170,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,170,16.2144,373.2346,237.0337,23.02,7.647,0.00198967
171,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,152,14.9249,483.5319,358.1623,32.4,7.964,0.00148984
172,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,136,17.2368,533.6953,388.9065,30.96,7.179,0.00107094
173,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,175,15.3445,432.7335,303.8394,28.2,8.08,0.00173306
174,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,156,13.7262,363.9218,248.6215,26.51,8.244,0.00241573
175,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,176,13.6163,443.079,328.7018,32.54,7.892,0.00176329
176,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,142,16.6624,519.5044,379.54,31.18,7.17,0.00113377
177,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,161,19.6161,723.2705,558.4954,36.87,8.524,0.00077806
178,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,181,16.636,521.9794,382.2371,31.38,8.2,0.00128953
179,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,186,16.0509,502.1603,367.333,31.29,7.632,0.00129443
180,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,187,16.9002,502.488,360.526,29.73,7.864,0.00129067
181,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,148,19.0426,618.6365,458.6787,32.49,7.23,0.00082776
182,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,196,16.7607,535.5085,394.7186,31.95,7.477,0.00113018
183,Intel Core Ultra 5 125H (Meteor Lake),llama.cpp,Q4_K_M,Science,160,15.4371,520.3032,390.632,33.7,7.73,0.00128188
