ID,HW_Platform,Backend,Precision,Category,Output_Tokens,Latency_s,Gross_Energy_J,Net_Energy_J,Power_W,Q_ped,LpW
29,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,172,38.1315,2170.0472,1781.1059,56.91,8.525,0.00012552
30,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,189,24.0696,917.0982,671.5881,38.1,9.065,0.00056078
31,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,174,35.7947,1746.4103,1381.3041,48.79,8.088,0.00016358
32,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,200,41.6494,2028.7378,1603.9139,48.71,7.926,0.00011865
33,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,179,40.8237,2298.1295,1881.7274,56.29,7.521,9.791e-05
34,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,169,35.9931,2104.5623,1737.4326,58.47,8.985,0.00014368
35,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,167,32.8123,1403.022,1068.3369,42.76,8.442,0.00024082
36,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,151,31.2753,1802.6484,1483.6402,57.64,8.457,0.00018226
37,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,190,32.8065,1450.3275,1115.7008,44.21,9.736,0.00026599
38,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,159,36.7015,1628.2876,1253.9322,44.37,8.396,0.00018244
39,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,200,30.4867,1496.3384,1185.3743,49.08,7.615,0.00021072
40,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,149,37.6841,1833.1578,1448.7794,48.65,8.146,0.00014921
41,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,180,44.0125,1857.1632,1408.2353,42.2,7.772,0.0001254
42,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,200,33.9153,1820.5538,1474.6173,53.68,8.05,0.00016096
43,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,130,28.0158,1508.1707,1222.4097,53.83,8.047,0.00023497
44,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,200,28.0142,1562.6591,1276.9145,55.78,7.958,0.00022247
45,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,168,37.7722,1814.8044,1429.528,48.05,7.571,0.00014021
46,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,181,33.9252,1699.4531,1353.4164,50.09,9.004,0.0001961
47,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,190,38.2334,1917.0918,1527.1109,50.14,8.383,0.00014358
48,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,193,31.7453,1875.4343,1551.6325,59.08,8.132,0.00016509
49,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,184,38.0209,1352.0953,964.2825,35.56,8.604,0.00023468
50,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,199,33.4718,1517.0732,1175.6606,45.32,8.466,0.00021514
51,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,189,30.8305,1551.6615,1237.1906,50.33,8.372,0.00021949
52,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,200,32.3554,1444.8318,1114.8067,44.66,8.569,0.00023757
53,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,189,28.6935,1404.7425,1112.0683,48.96,8.304,0.00026024
54,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,200,43.3511,2152.1374,1709.9566,49.64,8.562,0.0001155
55,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,197,33.7566,1582.5125,1238.1948,46.88,8.601,0.00020578
56,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,138,37.1648,1881.8467,1502.7661,50.64,8.318,0.00014893
57,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,200,31.7304,1699.6827,1376.0326,53.57,8.134,0.00018629
58,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,165,29.3611,1440.7923,1141.3087,49.07,8.975,0.00026783
59,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,200,33.1241,1588.0839,1250.2176,47.94,8.011,0.00019344
60,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,178,39.2655,1941.208,1540.7,49.44,8.428,0.00013931
61,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,200,31.8046,1598.5432,1274.136,50.26,8.439,0.00020825
62,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,162,30.1956,1245.5768,937.5821,41.25,7.947,0.00028071
63,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,191,34.9151,1840.0304,1483.8961,52.7,7.852,0.00015155
64,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,172,36.4955,1750.1344,1377.8802,47.95,8.07,0.00016048
65,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,200,41.7571,2374.3081,1948.3856,56.86,8.004,9.838e-05
66,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,187,35.8273,1912.2251,1546.7871,53.37,7.54,0.00013606
67,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,198,37.1624,2095.3757,1716.3196,56.38,7.927,0.00012428
68,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,130,37.5087,1689.4946,1306.9062,45.04,8.368,0.0001707
69,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,176,28.8961,1397.6708,1102.9303,48.37,8.848,0.00027762
70,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,187,29.7687,1305.0353,1001.3948,43.84,8.506,0.00028534
71,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,182,29.2141,1362.3402,1064.3566,46.63,6.992,0.00022487
72,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,199,28.0721,1594.8043,1308.4686,56.81,8.548,0.00023272
73,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,169,37.8591,2197.1519,1810.9889,58.03,7.972,0.00011627
74,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,179,35.5342,1575.222,1212.7729,44.33,8.457,0.00019624
75,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,200,34.5657,1656.2823,1303.7123,47.92,8.233,0.0001827
76,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,127,23.0,1147.787,913.187,49.9,8.148,0.00038794
77,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,190,43.6552,2328.7928,1883.5098,53.35,8.191,9.962e-05
78,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,170,30.0863,1238.0228,931.142,41.15,8.229,0.00029374
79,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,157,43.6383,1831.2567,1386.1456,41.96,8.885,0.00014689
80,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,185,27.5335,1455.0363,1174.1947,52.85,8.231,0.0002546
81,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,200,30.463,1223.5446,912.8224,40.16,8.761,0.00031506
82,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,200,24.0669,1154.649,909.1667,47.98,8.691,0.0003972
83,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,175,35.8658,1834.2789,1468.448,51.14,8.56,0.00016253
84,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,197,29.1342,1528.4237,1231.2547,52.46,7.382,0.00020579
85,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,197,29.2642,1450.4234,1151.9286,49.56,8.776,0.00026034
86,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,176,27.8864,1349.6495,1065.2078,48.4,8.02,0.00026999
87,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,162,37.7758,2066.0271,1680.7136,54.69,8.584,0.0001352
88,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,164,37.4727,1940.4532,1558.2313,51.78,7.773,0.00013312
89,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,196,42.5354,1996.4188,1562.5581,46.94,7.671,0.00011542
90,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,177,31.0457,1567.6911,1251.0245,50.5,9.189,0.00023659
91,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,154,35.2066,1841.0388,1481.9318,52.29,7.781,0.00014914
92,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,140,28.2691,1674.513,1386.1686,59.23,8.79,0.00022432
93,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,196,32.6588,1776.2768,1443.1568,54.39,8.297,0.00017604
94,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,165,31.8133,1801.1328,1476.637,56.62,8.038,0.00017111
95,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,185,36.3365,1712.3504,1341.7184,47.12,8.218,0.00016856
96,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,200,38.8783,1849.6059,1453.0473,47.57,7.615,0.0001348
97,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,149,38.7589,1902.133,1506.7922,49.08,8.233,0.00014097
98,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,177,30.3231,1502.6116,1193.3163,49.55,7.72,0.00021335
99,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,174,38.793,1747.9433,1352.2552,45.06,8.05,0.00015346
100,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,186,33.9972,1933.8583,1587.0867,56.88,8.684,0.00016094
101,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,200,32.7069,1795.3914,1461.7815,54.89,8.362,0.0001749
102,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,148,30.9408,1507.1434,1191.5467,48.71,7.529,0.00020422
103,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,190,31.6243,1696.229,1373.6612,53.64,8.649,0.0001991
104,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,200,42.2146,2172.3265,1741.7372,51.46,8.237,0.00011203
105,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,173,35.6141,1924.696,1561.4323,54.04,7.98,0.0001435
106,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,174,35.0032,1515.9753,1158.9425,43.31,8.598,0.00021195
107,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,187,32.9937,1634.5907,1298.0553,49.54,8.16,0.00019053
108,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,185,45.4515,2272.4933,1808.8879,50.0,7.68,9.341e-05
109,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,190,40.203,2152.5894,1742.5183,53.54,9.127,0.00013028
110,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,190,30.8831,1452.4985,1137.4907,47.03,8.232,0.00023433
111,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,156,32.9414,1228.725,892.723,37.3,8.201,0.00027887
112,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,199,33.2145,1483.862,1145.0744,44.68,8.046,0.00021155
113,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,200,34.871,1742.9421,1387.2578,49.98,8.806,0.00018204
114,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,182,30.9744,1568.2999,1252.3615,50.63,7.988,0.00020592
115,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,145,36.2186,2138.9046,1769.4753,59.06,7.498,0.000117
116,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,175,40.8796,2180.1209,1763.1489,53.33,7.914,0.0001098
117,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,182,28.1573,1428.2502,1141.0457,50.72,8.877,0.00027629
118,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,152,29.0105,1454.343,1158.4357,50.13,8.639,0.00025706
119,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,170,31.9775,1792.0735,1465.9033,56.04,8.118,0.00017318
120,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,146,32.1907,1520.4146,1192.069,47.23,8.899,0.0002319
121,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,191,43.3929,2151.0109,1708.4029,49.57,8.599,0.00011599
122,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,181,38.8079,1732.2222,1336.382,44.64,8.112,0.00015641
123,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,141,38.5439,2223.1461,1829.9985,57.68,8.16,0.00011569
124,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,185,32.9839,1726.4111,1389.9751,52.34,8.398,0.00018318
125,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,176,32.883,1533.0324,1197.6262,46.62,7.841,0.0001991
126,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,189,27.5222,1367.9841,1087.2582,49.7,8.242,0.00027543
127,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,169,37.796,2001.3054,1615.7862,52.95,8.388,0.00013735
128,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,160,36.4589,1786.3474,1414.4671,49.0,7.43,0.00014408
129,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,161,40.1156,1906.3229,1497.1439,47.52,8.149,0.00013568
130,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,166,33.2302,1558.4217,1219.4739,46.9,8.095,0.00019976
131,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,178,33.5478,1746.5866,1404.3989,52.06,8.733,0.00018536
132,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,181,34.9822,1694.4724,1337.6538,48.44,7.355,0.00015718
133,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,173,38.3027,1836.2504,1445.5626,47.94,8.057,0.00014551
134,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,168,27.437,1189.4623,909.6048,43.35,8.009,0.00032091
135,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,170,37.5859,1905.7432,1522.3675,50.7,8.701,0.00015206
136,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,200,34.1057,1683.3778,1335.4995,49.36,8.219,0.00018045
137,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,161,29.3303,1426.2555,1127.0868,48.63,9.102,0.00027534
138,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,165,24.6108,1263.3618,1012.3315,51.33,8.558,0.0003435
139,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,200,33.5722,1819.2656,1476.829,54.19,8.043,0.00016222
140,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,187,40.8595,2204.293,1787.5263,53.95,8.355,0.00011439
141,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,147,41.9035,2228.1872,1800.771,53.17,8.07,0.00010695
142,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,196,35.8347,1757.6403,1392.1261,49.05,8.653,0.00017345
143,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,157,43.2252,2046.784,1605.8867,47.35,7.601,0.0001095
144,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,197,34.0025,1525.7466,1178.9214,44.87,7.845,0.0001957
145,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,173,38.5852,1821.8227,1428.2537,47.22,8.459,0.00015349
146,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,168,32.1243,1619.1367,1291.4684,50.4,8.828,0.00021279
147,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,200,31.8328,1471.0376,1146.3425,46.21,7.183,0.00019684
148,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,190,31.0835,1579.024,1261.9728,50.8,8.9,0.00022689
149,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,199,24.7216,1119.3833,867.2233,45.28,8.173,0.00038122
150,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,187,40.1206,1671.5392,1262.3089,41.66,7.336,0.00014485
151,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,168,31.2485,1704.9462,1386.2115,54.56,6.799,0.00015696
152,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,191,30.5134,1459.5479,1148.3114,47.83,7.506,0.00021422
153,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,200,28.7721,1322.0053,1028.5296,45.95,8.231,0.00027814
154,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,180,33.2599,1483.7926,1144.5411,44.61,8.208,0.00021562
155,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,200,42.3121,2221.3744,1789.7913,52.5,8.544,0.00011282
156,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,196,43.8314,2518.0919,2071.0118,57.45,7.976,8.787e-05
157,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,182,26.56,1280.2993,1009.3871,48.2,7.708,0.00028751
158,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,183,32.5695,1601.7397,1269.5304,49.18,8.042,0.0001945
159,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,181,29.442,1644.9952,1344.6872,55.87,8.256,0.00020854
160,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,150,38.7464,1584.1711,1188.9583,40.89,8.351,0.00018128
161,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,176,35.5183,2149.8434,1787.5565,60.53,7.861,0.00012381
162,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,182,31.2718,1970.4137,1651.4415,63.01,8.673,0.00016794
163,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,168,34.5338,1251.0588,898.8137,36.23,7.942,0.00025587
164,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,185,32.0039,1593.5684,1267.1289,49.79,7.823,0.00019291
165,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,178,41.6255,1938.1462,1513.5658,46.56,7.98,0.00012666
166,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,195,36.716,1796.2644,1421.7611,48.92,8.756,0.00016773
167,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,192,37.2812,1794.1347,1413.8666,48.12,8.176,0.00015511
168,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,181,23.0,1253.9864,1019.3864,54.52,7.907,0.00033724
169,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,147,33.8928,1684.9668,1339.2606,49.71,8.685,0.00019134
170,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,200,43.7828,1994.8867,1548.3025,45.56,9.269,0.00013673
171,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,174,40.3002,1991.0164,1579.9545,49.4,8.341,0.000131
172,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,176,25.7034,1361.6852,1099.5107,52.98,8.832,0.00031251
173,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,170,32.7582,1446.1011,1111.967,44.14,8.737,0.00023986
174,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,167,28.673,1196.7996,904.3348,41.74,7.949,0.00030656
175,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,200,42.0711,2552.1261,2123.0012,60.66,8.253,9.24e-05
176,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,200,35.3237,1658.7782,1298.4766,46.96,7.624,0.00016622
177,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,187,30.6681,1520.7032,1207.8882,49.59,8.142,0.00021979
178,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,175,34.3571,1657.0945,1306.6518,48.23,7.939,0.00017684
179,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Science,191,23.0,1222.4513,987.8513,53.15,8.047,0.00035417
